,Player,PTS,TRB,AST,STL,BLK,TOV,FG%,3P%,Age,Pos,GS,YOE,BPM,VORP,WS/48,Salary
0,James Harden,27.4,5.7,7.0,1.9,0.7,4.0,0.44,0.375,25.0,SG,81.0,7.0,8.8,8.1,0.265,"19,983,712"
1,Kevin Durant,25.4,6.6,4.1,0.9,0.9,2.7,0.51,0.403,26.0,SF,27.0,9.0,10.0,2.8,0.252,"27,196,617"
2,LeBron James,25.3,6.0,7.4,1.6,0.7,3.9,0.488,0.354,30.0,SF,69.0,13.0,7.1,5.7,0.199,"28,076,384"
3,Anthony Davis,24.4,10.2,2.2,1.5,2.9,1.4,0.535,0.083,21.0,PF,68.0,4.0,8.9,6.7,0.274,"7,625,846"
4,Carmelo Anthony,24.2,6.6,3.1,1.0,0.4,2.2,0.444,0.341,30.0,SF,40.0,13.0,3.0,1.8,0.097,"30,543,425"
5,DeMarcus Cousins,24.1,12.7,3.6,1.5,1.7,4.3,0.467,0.25,24.0,C,59.0,6.0,4.3,3.2,0.144,"18,633,700"
6,Stephen Curry,23.8,4.3,7.7,2.0,0.2,3.1,0.487,0.443,26.0,PG,80.0,7.0,9.9,7.9,0.288,"14,455,729"
7,Kobe Bryant,22.3,5.7,5.6,1.3,0.2,3.7,0.373,0.293,36.0,SG,35.0,20.0,0.3,0.7,0.006,"31,960,000"
8,Blake Griffin,21.9,7.6,5.3,0.9,0.5,2.3,0.502,0.4,25.0,PF,67.0,6.0,4.0,3.6,0.183,"23,980,455"
9,Kyrie Irving,21.7,3.2,5.2,1.5,0.3,2.5,0.468,0.415,22.0,PG,75.0,5.0,4.1,4.2,0.183,"10,145,496"
10,Klay Thompson,21.7,3.2,2.9,1.1,0.8,1.9,0.463,0.439,24.0,SG,77.0,5.0,4.4,4.0,0.172,"4,183,196"
11,Dwyane Wade,21.5,3.5,4.8,1.2,0.3,3.4,0.47,0.284,33.0,SG,62.0,13.0,2.1,2.1,0.086,"20,400,000"
12,Chris Bosh,21.1,7.0,2.2,0.9,0.6,2.2,0.46,0.375,30.0,C,44.0,13.0,1.3,1.3,0.111,"28,076,384"
13,Rudy Gay,21.1,5.9,3.7,1.0,0.6,2.7,0.455,0.359,28.0,SF,67.0,10.0,2.7,2.9,0.122,"26,271,563"
14,Damian Lillard,21.0,4.6,6.2,1.2,0.3,2.7,0.434,0.343,24.0,PG,82.0,4.0,4.7,4.9,0.174,"4,543,651"
15,DeMar DeRozan,20.1,4.6,3.5,1.2,0.2,2.3,0.413,0.284,25.0,SG,60.0,7.0,-0.9,0.6,0.09,"12,920,000"
16,Jimmy Butler,20.0,5.8,3.3,1.8,0.6,1.4,0.462,0.378,25.0,SG,65.0,5.0,4.6,4.2,0.214,"2,882,131"
17,Kevin Martin,20.0,3.6,2.3,0.8,0.0,1.9,0.427,0.393,31.0,SG,36.0,12.0,-0.7,0.4,0.069,"9,237,800"
18,Gordon Hayward,19.3,4.9,4.1,1.4,0.4,2.7,0.445,0.364,24.0,SF,76.0,6.0,4.0,4.0,0.159,"20,054,560"
19,Nikola Vučević,19.3,10.9,2.0,0.7,0.7,2.0,0.523,0.333,24.0,C,74.0,5.0,0.9,1.8,0.133,"3,947,749"
20,Chris Paul,19.1,4.6,10.2,1.9,0.2,2.3,0.485,0.398,29.0,PG,82.0,11.0,8.0,7.2,0.27,"27,293,245"
21,Monta Ellis,18.9,2.4,4.1,1.9,0.3,2.5,0.445,0.285,29.0,SG,80.0,11.0,-0.1,1.3,0.065,"11,859,200"
22,Pau Gasol,18.5,11.8,2.7,0.3,1.9,2.0,0.494,0.462,34.0,PF,78.0,15.0,3.5,3.7,0.187,"9,694,080"
23,Victor Oladipo,17.9,4.2,4.1,1.7,0.3,2.8,0.436,0.339,22.0,SG,71.0,3.0,-0.4,1.1,0.065,"6,770,352"
24,Kyle Lowry,17.8,4.7,6.8,1.6,0.2,2.5,0.412,0.338,28.0,PG,70.0,10.0,3.0,3.1,0.141,"16,320,000"
25,Derrick Rose,17.7,3.2,4.9,0.7,0.3,3.2,0.405,0.28,26.0,PG,51.0,8.0,-0.6,0.6,0.038,"25,653,511"
26,John Wall,17.6,4.6,10.0,1.7,0.6,3.8,0.445,0.3,24.0,PG,79.0,6.0,3.6,4.0,0.132,"18,633,700"
27,Marc Gasol,17.4,7.8,3.8,0.9,1.6,2.2,0.494,0.176,30.0,C,81.0,8.0,5.1,4.8,0.182,"21,528,375"
28,Dirk Nowitzki,17.3,5.9,1.9,0.5,0.4,1.1,0.459,0.38,36.0,PF,77.0,18.0,2.2,2.4,0.152,"10,845,295"
29,Kemba Walker,17.3,3.5,5.1,1.4,0.5,1.6,0.385,0.304,24.0,PG,58.0,5.0,2.3,2.3,0.101,"4,694,968"
30,Brook Lopez,17.2,7.4,0.7,0.6,1.8,1.4,0.513,0.1,26.0,C,44.0,8.0,1.2,1.6,0.159,"21,377,840"
31,Tobias Harris,17.1,6.3,1.8,1.0,0.5,1.7,0.466,0.364,22.0,SF,63.0,5.0,0.5,1.5,0.098,"3,415,547"
32,Brandon Knight,17.0,3.9,5.2,1.4,0.2,3.0,0.422,0.389,23.0,PG,61.0,5.0,1.6,1.9,0.106,"4,833,327"
33,Eric Bledsoe,17.0,5.2,6.1,1.6,0.6,3.4,0.447,0.324,25.0,PG,81.0,6.0,2.1,2.9,0.119,"17,680,000"
34,Andrew Wiggins,16.9,4.6,2.1,1.0,0.6,2.2,0.437,0.31,19.0,SF,82.0,2.0,-2.4,-0.3,0.034,"7,494,470"
35,Tony Wroten,16.9,2.9,5.2,1.6,0.3,3.8,0.403,0.261,21.0,PG,15.0,4.0,-1.2,0.2,0.014,"1,645,708"
36,Paul Millsap,16.7,7.8,3.1,1.8,0.9,2.3,0.476,0.356,29.0,PF,73.0,10.0,3.4,3.3,0.166,"12,920,000"
37,Tyreke Evans,16.6,5.3,6.6,1.3,0.5,3.1,0.447,0.304,25.0,SG,76.0,7.0,1.2,2.2,0.082,"15,320,965"
38,Al Jefferson,16.6,8.4,1.7,0.7,1.3,1.0,0.481,0.4,30.0,C,61.0,12.0,1.6,1.8,0.113,"18,360,000"
39,Kawhi Leonard,16.5,7.2,2.5,2.3,0.8,1.5,0.479,0.349,23.0,SF,64.0,5.0,5.9,4.1,0.204,"4,152,580"
40,Isaiah Thomas,16.4,2.3,4.2,0.9,0.1,2.1,0.42,0.373,25.0,PG,1.0,5.0,3.2,2.3,0.169,"9,844,504"
41,Kevin Love,16.4,9.7,2.2,0.7,0.5,1.6,0.434,0.367,26.0,PF,75.0,8.0,2.7,3.0,0.165,"21,377,925"
42,JJ Redick,16.4,2.1,1.8,0.5,0.1,1.2,0.477,0.437,30.0,SG,78.0,10.0,1.3,2.0,0.134,"9,237,800"
43,Goran Dragić,16.3,3.5,4.5,1.0,0.2,2.2,0.501,0.347,28.0,PG,78.0,8.0,0.8,1.8,0.123,"10,200,000"
44,Darren Collison,16.1,3.2,5.6,1.5,0.3,2.5,0.473,0.373,27.0,PG,45.0,7.0,2.1,1.6,0.116,"6,524,823"
45,George Hill,16.1,4.2,5.1,1.0,0.3,1.6,0.477,0.358,28.0,PG,36.0,8.0,5.3,2.3,0.203,"10,880,000"
46,Zach Randolph,16.1,10.5,2.2,1.0,0.2,2.2,0.487,0.35,33.0,PF,71.0,15.0,1.3,1.9,0.149,"22,440,000"
47,Derrick Favors,16.0,8.2,1.5,0.8,1.7,1.6,0.525,0.167,23.0,PF,74.0,6.0,2.5,2.6,0.175,"17,612,000"
48,Wesley Matthews,15.9,3.7,2.3,1.3,0.2,1.4,0.448,0.389,28.0,SG,60.0,7.0,3.1,2.6,0.147,"9,854,070"
49,Greg Monroe,15.9,10.2,2.1,1.1,0.5,2.2,0.496,,24.0,PF,57.0,6.0,2.0,2.1,0.153,"7,452,708"
50,Jeff Teague,15.9,2.5,7.0,1.7,0.4,2.8,0.46,0.343,26.0,PG,72.0,7.0,2.9,2.8,0.166,"10,880,000"
51,Mike Conley,15.8,3.0,5.4,1.3,0.2,2.2,0.446,0.386,27.0,PG,70.0,9.0,2.8,2.7,0.147,"11,913,600"
52,Jamal Crawford,15.8,1.9,2.5,0.9,0.2,1.4,0.396,0.327,34.0,SG,4.0,16.0,0.7,1.2,0.102,"7,412,000"
53,Dwight Howard,15.8,10.5,1.2,0.7,1.3,2.8,0.593,0.5,29.0,C,41.0,12.0,-0.4,0.5,0.14,"29,153,328"
54,Chandler Parsons,15.7,4.9,2.4,1.0,0.3,1.5,0.462,0.38,26.0,SF,66.0,5.0,1.6,2.0,0.121,"19,992,000"
55,Lou Williams,15.5,1.9,2.1,1.1,0.1,1.3,0.404,0.34,28.0,SG,0.0,11.0,2.6,2.3,0.157,"7,412,000"
56,Brandon Jennings,15.4,2.5,6.6,1.1,0.1,2.2,0.401,0.36,25.0,PG,41.0,7.0,3.3,1.6,0.136,"10,880,000"
57,Bradley Beal,15.3,3.8,3.1,1.2,0.3,2.0,0.427,0.409,21.0,SG,59.0,4.0,0.1,1.1,0.085,"6,127,180"
58,Markieff Morris,15.3,6.2,2.3,1.2,0.5,2.1,0.465,0.318,25.0,PF,82.0,5.0,-0.3,1.1,0.085,"4,289,249"
59,Al Horford,15.2,7.2,3.2,0.9,1.3,1.3,0.538,0.306,28.0,C,76.0,9.0,4.1,3.6,0.179,"16,320,000"
60,Ty Lawson,15.2,3.1,9.6,1.2,0.1,2.5,0.436,0.341,27.0,PG,75.0,7.0,2.2,2.8,0.126,"15,769,888"
61,Jeff Green,15.0,4.2,1.7,0.7,0.4,1.4,0.43,0.332,28.0,SF,70.0,9.0,-0.2,1.2,0.101,"12,512,000"
62,Andrea Bargnani,14.8,4.4,1.6,0.1,0.9,1.4,0.454,0.366,29.0,C,22.0,10.0,-1.1,0.2,0.058,"16,320,000"
63,Jrue Holiday,14.8,3.4,6.9,1.6,0.6,2.3,0.446,0.378,24.0,PG,37.0,7.0,2.8,1.6,0.124,"14,960,000"
64,Michael Carter-Williams,14.6,5.3,6.7,1.7,0.5,3.8,0.396,0.235,23.0,PG,63.0,3.0,-1.1,0.5,0.017,"3,128,054"
65,Reggie Jackson,14.5,4.2,6.0,0.8,0.1,2.4,0.434,0.299,24.0,PG,40.0,5.0,1.1,1.8,0.104,"3,162,924"
66,Joe Johnson,14.4,4.8,3.7,0.7,0.2,1.7,0.435,0.359,33.0,SG,80.0,15.0,-0.1,1.3,0.07,"31,525,874"
67,Tony Parker,14.4,1.9,4.9,0.6,0.0,2.1,0.486,0.427,32.0,PG,68.0,15.0,-1.3,0.3,0.1,"17,000,000"
68,Serge Ibaka,14.3,7.8,0.9,0.5,2.4,1.5,0.476,0.376,25.0,PF,64.0,7.0,0.9,1.6,0.127,"16,660,000"
