,Unnamed: 0,Player,PTS,TRB,AST,STL,BLK,TOV,FG%,3P%,Age,Pos,GS,YOE,BPM,VORP,WS/48,Salary
0,0,Shai Gilgeous-Alexander,32.7,5.0,6.4,1.7,1.0,2.4,0.519,0.375,26.0,PG,76.0,8.0,11.5,8.9,0.309,"35,859,950"
1,1,Giannis Antetokounmpo,30.4,11.9,6.5,0.9,1.2,3.1,0.601,0.222,30.0,PF,67.0,13.0,9.5,6.6,0.241,"48,787,676"
2,2,Nikola Jokić,29.6,12.7,10.2,1.8,0.6,3.3,0.576,0.417,29.0,C,70.0,11.0,13.3,9.8,0.307,"51,415,938"
3,3,Luka Dončić,28.2,8.2,7.7,1.8,0.4,3.6,0.45,0.368,25.0,PG,50.0,8.0,6.7,3.9,0.16,"43,031,940"
4,4,Anthony Edwards,27.6,5.7,4.5,1.2,0.6,3.2,0.447,0.395,23.0,SG,79.0,6.0,4.3,4.6,0.14,"42,176,400"
5,5,Jayson Tatum,26.8,8.7,6.0,1.1,0.5,2.9,0.452,0.343,26.0,PF,72.0,9.0,5.2,4.8,0.174,"34,848,340"
6,6,Kevin Durant,26.6,6.0,4.2,0.8,1.2,3.1,0.527,0.43,36.0,PF,62.0,19.0,3.2,3.0,0.111,"51,179,020"
7,7,Tyrese Maxey,26.3,3.3,6.1,1.8,0.4,2.4,0.437,0.337,24.0,PG,52.0,6.0,2.0,2.0,0.094,"35,147,000"
8,8,Cade Cunningham,26.1,6.1,9.1,1.0,0.8,4.4,0.469,0.356,23.0,PG,70.0,5.0,3.9,3.7,0.115,"13,940,809"
9,9,Jalen Brunson,26.0,2.9,7.3,0.9,0.1,2.5,0.488,0.383,28.0,PG,65.0,8.0,3.3,3.1,0.172,"24,960,001"
10,10,Paolo Banchero,25.9,7.5,4.8,0.8,0.6,3.0,0.452,0.32,22.0,PF,46.0,4.0,3.5,2.2,0.106,"12,160,800"
11,11,Devin Booker,25.6,4.1,7.1,0.9,0.2,2.9,0.461,0.332,28.0,SG,75.0,11.0,0.4,1.7,0.111,"49,205,800"
12,12,LaMelo Ball,25.2,4.9,7.4,1.1,0.3,3.6,0.405,0.339,23.0,PG,47.0,6.0,3.2,2.0,0.065,"35,147,000"
13,13,Damian Lillard,24.9,4.7,7.1,1.2,0.2,2.8,0.448,0.376,34.0,PG,58.0,14.0,4.0,3.2,0.175,"48,787,676"
14,14,Anthony Davis,24.7,11.6,3.5,1.2,2.2,2.2,0.516,0.282,31.0,PF,51.0,14.0,5.4,3.2,0.188,"43,219,440"
15,15,Kyrie Irving,24.7,4.8,4.6,1.3,0.5,2.2,0.473,0.401,32.0,SG,50.0,15.0,3.4,2.5,0.124,"40,000,000"
16,16,Zion Williamson,24.6,7.2,5.3,1.2,0.9,3.0,0.567,0.231,24.0,PF,30.0,7.0,7.0,1.9,0.141,"36,725,670"
17,17,Stephen Curry,24.5,4.4,6.0,1.1,0.4,2.9,0.448,0.397,36.0,PG,70.0,17.0,6.3,4.8,0.168,"55,761,217"
18,18,LeBron James,24.4,7.8,8.2,1.0,0.6,3.7,0.513,0.376,40.0,SF,70.0,23.0,5.6,4.7,0.152,"48,728,845"
19,19,Victor Wembanyama,24.3,11.0,3.7,1.1,3.8,3.2,0.476,0.352,21.0,C,46.0,3.0,6.5,3.3,0.118,"12,768,664"
20,20,Franz Wagner,24.2,5.7,4.7,1.3,0.4,2.3,0.463,0.295,23.0,SF,60.0,5.0,3.1,2.6,0.133,"7,007,092"
21,21,Trae Young,24.2,3.1,11.6,1.2,0.2,4.7,0.411,0.34,26.0,PG,76.0,8.0,0.5,1.7,0.1,"43,031,940"
22,22,Donovan Mitchell,24.0,4.5,5.0,1.3,0.2,2.1,0.443,0.368,28.0,SG,71.0,9.0,3.7,3.2,0.163,"35,410,310"
23,23,Cam Thomas,24.0,3.3,3.8,0.6,0.1,2.5,0.438,0.349,23.0,SG,23.0,5.0,0.3,0.5,0.071,"4,041,249"
24,24,Tyler Herro,23.9,5.2,5.5,0.9,0.2,2.6,0.472,0.375,25.0,SG,77.0,7.0,3.1,3.5,0.131,"29,000,000"
25,25,Joel Embiid,23.8,8.2,4.5,0.7,0.9,3.3,0.444,0.299,30.0,C,19.0,10.0,3.5,0.8,0.118,"51,415,938"
26,26,De'Aaron Fox,23.5,4.8,6.3,1.5,0.4,2.8,0.463,0.31,27.0,PG,62.0,9.0,0.4,1.3,0.093,"34,848,340"
27,27,Zach LaVine,23.3,4.3,4.2,0.8,0.2,2.8,0.511,0.446,29.0,SF,74.0,12.0,0.7,1.8,0.094,"44,531,940"
28,28,Ja Morant,23.2,4.1,7.3,1.2,0.2,3.7,0.454,0.309,25.0,PG,50.0,7.0,2.4,1.7,0.112,"36,725,670"
29,29,James Harden,22.8,5.8,8.7,1.5,0.7,4.3,0.41,0.352,35.0,PG,79.0,17.0,4.3,4.4,0.143,"33,653,846"
30,30,Jaylen Brown,22.2,5.8,4.5,1.2,0.3,2.6,0.463,0.324,28.0,SF,63.0,10.0,0.0,1.1,0.115,"49,205,800"
31,31,DeMar DeRozan,22.2,3.9,4.4,0.8,0.4,1.4,0.477,0.328,35.0,SF,77.0,17.0,-0.1,1.3,0.123,"23,400,000"
32,32,Brandon Ingram,22.2,5.6,5.2,0.9,0.6,3.8,0.465,0.374,27.0,SF,18.0,10.0,-0.3,0.3,0.001,"36,016,200"
33,33,Jaren Jackson Jr.,22.2,5.6,2.0,1.2,1.5,2.1,0.488,0.375,25.0,C,74.0,8.0,2.3,2.4,0.139,"25,257,798"
34,34,Norman Powell,21.8,3.2,2.1,1.2,0.2,1.8,0.484,0.418,31.0,SG,60.0,11.0,1.5,1.8,0.129,"19,241,379"
35,35,Jalen Williams,21.6,5.3,5.1,1.6,0.7,2.2,0.484,0.365,23.0,SG,69.0,4.0,4.0,3.4,0.168,"4,775,760"
36,36,Kawhi Leonard,21.5,5.9,3.1,1.6,0.5,1.9,0.498,0.411,33.0,SF,37.0,15.0,3.1,1.5,0.141,"49,205,800"
37,37,Jamal Murray,21.4,3.9,6.0,1.4,0.5,2.1,0.474,0.393,27.0,PG,67.0,10.0,0.8,1.7,0.123,"36,016,200"
38,38,Trey Murphy III,21.2,5.1,3.5,1.1,0.7,1.9,0.454,0.361,24.0,SF,51.0,5.0,0.8,1.3,0.091,"5,159,854"
39,39,RJ Barrett,21.1,6.3,5.4,0.8,0.3,2.8,0.468,0.35,24.0,SF,58.0,7.0,0.6,1.2,0.061,"25,794,643"
40,40,CJ McCollum,21.1,3.8,4.1,0.8,0.4,1.9,0.444,0.373,33.0,PG,56.0,13.0,-1.4,0.3,0.038,"33,333,333"
41,41,Jalen Green,21.0,4.6,3.4,0.9,0.3,2.5,0.423,0.354,22.0,SG,82.0,5.0,0.5,1.7,0.092,"12,483,048"
42,42,Brandon Miller,21.0,4.9,3.6,1.1,0.7,2.8,0.403,0.355,22.0,SF,27.0,3.0,0.0,0.4,0.023,"11,424,382"
43,43,Darius Garland,20.6,2.9,6.7,1.2,0.1,2.5,0.472,0.401,25.0,PG,75.0,7.0,3.1,3.0,0.169,"36,725,670"
44,44,Jordan Poole,20.5,3.0,4.5,1.3,0.4,3.0,0.432,0.378,25.0,SG,68.0,7.0,0.4,1.2,0.047,"29,651,786"
45,45,Coby White,20.4,3.7,4.5,0.9,0.2,2.4,0.453,0.37,24.0,SG,73.0,7.0,-0.9,0.7,0.088,"12,000,000"
46,46,Miles Bridges,20.3,7.5,3.9,0.7,0.7,2.1,0.431,0.313,26.0,PF,64.0,8.0,1.8,2.0,0.075,"27,173,913"
47,47,Austin Reaves,20.2,4.5,5.8,1.1,0.3,2.4,0.46,0.377,26.0,SG,73.0,5.0,1.9,2.6,0.144,"12,976,362"
48,48,Pascal Siakam,20.2,6.9,3.4,0.9,0.5,1.4,0.519,0.389,30.0,PF,78.0,10.0,1.7,2.4,0.142,"42,176,400"
49,49,Scottie Barnes,19.3,7.7,5.8,1.4,1.0,2.8,0.446,0.271,23.0,PF,65.0,5.0,2.4,2.3,0.078,"10,130,980"
50,50,Anfernee Simons,19.3,2.7,4.8,0.9,0.1,2.0,0.426,0.363,25.0,SG,70.0,8.0,-0.1,1.1,0.087,"25,892,857"
51,51,Desmond Bane,19.2,6.1,5.3,1.2,0.4,2.4,0.484,0.392,26.0,SG,68.0,6.0,3.2,2.9,0.142,"34,005,250"
52,52,Domantas Sabonis,19.1,13.9,6.0,0.7,0.4,2.9,0.59,0.417,28.0,C,70.0,10.0,5.2,4.4,0.199,"39,200,000"
53,53,Alperen Şengün,19.1,10.3,4.9,1.1,0.8,2.6,0.496,0.233,22.0,C,76.0,5.0,4.4,3.9,0.166,"5,424,654"
54,54,John Collins,19.0,8.2,2.0,1.0,1.0,2.6,0.527,0.399,27.0,PF,31.0,9.0,1.0,0.9,0.098,"26,580,000"
55,55,Lauri Markkanen,19.0,5.9,1.5,0.7,0.4,1.4,0.423,0.346,27.0,PF,47.0,9.0,-0.3,0.7,0.07,"42,176,400"
56,56,Jalen Johnson,18.9,10.0,5.0,1.6,1.0,2.9,0.5,0.312,23.0,SF,36.0,5.0,1.8,1.2,0.089,"4,510,905"
57,57,Cameron Johnson,18.8,4.3,3.4,0.9,0.4,1.7,0.475,0.39,28.0,PF,57.0,7.0,3.1,2.3,0.137,"23,062,500"
58,58,Julius Randle,18.7,7.1,4.7,0.7,0.2,2.8,0.485,0.344,30.0,PF,69.0,12.0,1.3,1.8,0.134,"33,073,920"
59,59,Tyrese Haliburton,18.6,3.5,9.2,1.4,0.7,1.6,0.473,0.388,24.0,PG,73.0,6.0,5.8,4.9,0.204,"42,176,400"
60,60,Evan Mobley,18.5,9.3,3.2,0.9,1.6,2.0,0.557,0.37,23.0,PF,71.0,5.0,4.6,3.6,0.2,"11,227,657"
61,61,Shaedon Sharpe,18.5,4.5,2.8,0.9,0.2,2.1,0.452,0.311,21.0,SG,52.0,4.0,-1.3,0.4,0.064,"6,614,160"
62,62,Nikola Vučević,18.5,10.1,3.5,0.8,0.7,1.6,0.53,0.402,34.0,C,72.0,15.0,2.6,2.7,0.153,"20,000,000"
63,63,Collin Sexton,18.4,2.7,4.2,0.7,0.1,2.5,0.48,0.406,26.0,SG,61.0,8.0,-0.6,0.6,0.066,"18,150,000"
64,64,Michael Porter Jr.,18.2,7.0,2.1,0.6,0.5,1.4,0.504,0.395,26.0,SF,77.0,7.0,-0.1,1.2,0.118,"35,859,950"
65,65,Bam Adebayo,18.1,9.6,4.3,1.3,0.7,2.1,0.485,0.357,27.0,C,78.0,9.0,2.0,2.7,0.135,"34,848,340"
66,66,Andrew Wiggins,18.0,4.5,2.6,1.0,0.8,1.7,0.448,0.374,29.0,SF,60.0,12.0,0.9,1.4,0.104,"26,276,786"
67,67,OG Anunoby,18.0,4.8,2.2,1.5,0.9,1.4,0.476,0.372,27.0,PF,74.0,9.0,0.7,1.9,0.116,"36,637,932"
68,68,Mikal Bridges,17.6,3.2,3.7,0.9,0.5,1.6,0.5,0.354,28.0,SF,82.0,8.0,-0.5,1.2,0.09,"23,300,000"
69,69,Jaden Ivey,17.6,4.1,4.0,0.9,0.4,3.0,0.46,0.409,22.0,SG,30.0,4.0,0.0,0.5,0.062,"7,977,240"
70,70,Jimmy Butler,17.5,5.4,5.4,1.4,0.3,1.3,0.504,0.308,35.0,SF,55.0,15.0,4.9,3.0,0.238,"48,798,677"
